,DataSet,Vectorizer,Stopword removing,Punctuation removing,Morphing,Classifier,Accuracy,Precision,Recall,Fscore
46,Amazon,Count Vectorizer,off,off,stemmer,Support Vector Machine,0.8151515151515152,0.8176470588235294,0.8224852071005917,0.8200589970501475
47,Amazon,Count Vectorizer,off,off,turned off,Support Vector Machine,0.8,0.8083832335329342,0.7988165680473372,0.8035714285714286
48,Amazon,Tfidf,on,on,lemmitizer,Decision Tree,0.706060606060606,0.7195121951219512,0.6982248520710059,0.7087087087087086
49,Amazon,Tfidf,on,on,stemmer,Decision Tree,0.693939393939394,0.7236842105263158,0.650887573964497,0.6853582554517135
50,Amazon,Tfidf,on,on,turned off,Decision Tree,0.7272727272727273,0.7801418439716312,0.650887573964497,0.7096774193548387
51,Amazon,Tfidf,off,on,lemmitizer,Decision Tree,0.7272727272727273,0.7651006711409396,0.6745562130177515,0.7169811320754718
52,Amazon,Tfidf,off,on,stemmer,Decision Tree,0.7333333333333333,0.7425149700598802,0.7337278106508875,0.7380952380952381
53,Amazon,Tfidf,off,on,turned off,Decision Tree,0.7090909090909091,0.7588652482269503,0.6331360946745562,0.6903225806451613
54,Amazon,Tfidf,on,off,lemmitizer,Decision Tree,0.7121212121212122,0.75,0.6568047337278107,0.7003154574132492
55,Amazon,Tfidf,on,off,stemmer,Decision Tree,0.696969696969697,0.7412587412587412,0.6272189349112426,0.6794871794871794
56,Amazon,Tfidf,on,off,turned off,Decision Tree,0.7121212121212122,0.7605633802816901,0.6390532544378699,0.6945337620578779
57,Amazon,Tfidf,off,off,lemmitizer,Decision Tree,0.7090909090909091,0.7417218543046358,0.6627218934911243,0.7000000000000001
58,Amazon,Tfidf,off,off,stemmer,Decision Tree,0.7545454545454545,0.775,0.7337278106508875,0.7537993920972644
59,Amazon,Tfidf,off,off,turned off,Decision Tree,0.7151515151515152,0.7622377622377622,0.6449704142011834,0.6987179487179488
60,Amazon,Count Vectorizer,on,on,lemmitizer,Decision Tree,0.7303030303030303,0.7631578947368421,0.6863905325443787,0.7227414330218069
61,Amazon,Count Vectorizer,on,on,stemmer,Decision Tree,0.7515151515151515,0.7701863354037267,0.7337278106508875,0.7515151515151516
62,Amazon,Count Vectorizer,on,on,turned off,Decision Tree,0.7303030303030303,0.7564102564102564,0.6982248520710059,0.7261538461538461
63,Amazon,Count Vectorizer,off,on,lemmitizer,Decision Tree,0.7696969696969697,0.7751479289940828,0.7751479289940828,0.7751479289940828
64,Amazon,Count Vectorizer,off,on,stemmer,Decision Tree,0.7818181818181819,0.793939393939394,0.7751479289940828,0.7844311377245509
65,Amazon,Count Vectorizer,off,on,turned off,Decision Tree,0.7515151515151515,0.8085106382978723,0.6745562130177515,0.735483870967742
66,Amazon,Count Vectorizer,on,off,lemmitizer,Decision Tree,0.7212121212121212,0.7583892617449665,0.6686390532544378,0.710691823899371
67,Amazon,Count Vectorizer,on,off,stemmer,Decision Tree,0.7333333333333333,0.7579617834394905,0.7041420118343196,0.7300613496932516
68,Amazon,Count Vectorizer,on,off,turned off,Decision Tree,0.7363636363636363,0.7697368421052632,0.6923076923076923,0.7289719626168224
69,Amazon,Count Vectorizer,off,off,lemmitizer,Decision Tree,0.7575757575757576,0.7870967741935484,0.7218934911242604,0.7530864197530864
70,Amazon,Count Vectorizer,off,off,stemmer,Decision Tree,0.7424242424242424,0.7560975609756098,0.7337278106508875,0.7447447447447446
71,Amazon,Count Vectorizer,off,off,turned off,Decision Tree,0.7606060606060606,0.8409090909090909,0.6568047337278107,0.7375415282392027
72,Amazon,Tfidf,on,on,lemmitizer,Random Forest,0.7272727272727273,0.8110236220472441,0.6094674556213018,0.6959459459459458
73,Amazon,Tfidf,on,on,stemmer,Random Forest,0.7424242424242424,0.8134328358208955,0.6449704142011834,0.7194719471947194
74,Amazon,Tfidf,on,on,turned off,Random Forest,0.7515151515151515,0.8270676691729323,0.650887573964497,0.7284768211920528
75,Amazon,Tfidf,off,on,lemmitizer,Random Forest,0.796969696969697,0.8493150684931506,0.7337278106508875,0.7873015873015872
76,Amazon,Tfidf,off,on,stemmer,Random Forest,0.793939393939394,0.8435374149659864,0.7337278106508875,0.7848101265822786
77,Amazon,Tfidf,off,on,turned off,Random Forest,0.7757575757575758,0.8571428571428571,0.6745562130177515,0.7549668874172185
78,Amazon,Tfidf,on,off,lemmitizer,Random Forest,0.7363636363636363,0.8059701492537313,0.6390532544378699,0.7128712871287128
